Date,USA IMI/COMM SVC 25-50
11/30/1998,1277.928576
12/1/1998,1289.952771
12/2/1998,1286.622797
12/3/1998,1291.679416
12/4/1998,1316.290439
12/7/1998,1330.525011
12/8/1998,1330.796743
12/9/1998,1338.715325
12/10/1998,1341.369811
12/11/1998,1337.357451
12/14/1998,1300.517867
12/15/1998,1318.510229
12/16/1998,1323.210656
12/17/1998,1350.052645
12/18/1998,1364.772768
12/21/1998,1398.013462
12/22/1998,1381.259866
12/23/1998,1408.872921
12/24/1998,1414.12184
12/25/1998,1414.12184
12/28/1998,1432.976286
12/29/1998,1467.2803
12/30/1998,1449.01559
12/31/1998,1460.48056
1/1/1999,1460.48056
1/4/1999,1449.170911
1/5/1999,1479.084242
1/6/1999,1523.055788
1/7/1999,1520.373673
1/8/1999,1546.026069
1/11/1999,1529.501539
1/12/1999,1507.369332
1/13/1999,1512.418028
1/14/1999,1486.92788
1/15/1999,1531.869203
1/18/1999,1531.869203
1/19/1999,1606.556711
1/20/1999,1625.828865
1/21/1999,1582.883068
1/22/1999,1595.545115
1/25/1999,1579.710509
1/26/1999,1595.310448
1/27/1999,1575.528153
1/28/1999,1609.288603
1/29/1999,1616.25026
2/1/1999,1622.100195
2/2/1999,1597.014183
2/3/1999,1614.23529
2/4/1999,1587.591066
2/5/1999,1566.83296
2/8/1999,1586.072118
2/9/1999,1555.46819
2/10/1999,1541.673139
2/11/1999,1586.399838
2/12/1999,1548.360524
2/15/1999,1548.360524
2/16/1999,1565.464848
2/17/1999,1534.100262
2/18/1999,1554.386575
2/19/1999,1561.753762
2/22/1999,1609.690498
2/23/1999,1585.907255
2/24/1999,1590.541428
2/25/1999,1581.697602
2/26/1999,1567.966064
3/1/1999,1550.86349
3/2/1999,1541.185132
3/3/1999,1528.475649
3/4/1999,1551.643154
3/5/1999,1584.143162
3/8/1999,1599.541431
3/9/1999,1602.092758
3/10/1999,1604.860615
3/11/1999,1618.71949
3/12/1999,1617.796091
3/15/1999,1638.037464
3/16/1999,1636.825608
3/17/1999,1642.033193
3/18/1999,1660.527283
3/19/1999,1639.385192
3/22/1999,1631.169959
3/23/1999,1581.623101
3/24/1999,1605.410358
3/25/1999,1627.906115
3/26/1999,1625.711159
3/29/1999,1650.670171
3/30/1999,1634.507067
3/31/1999,1630.311028
4/1/1999,1649.230694
4/2/1999,1649.230694
4/5/1999,1679.601772
4/6/1999,1690.570135
4/7/1999,1719.972115
4/8/1999,1748.95374
4/9/1999,1776.175574
4/12/1999,1836.937609
4/13/1999,1843.471864
4/14/1999,1777.79732
4/15/1999,1757.724725
4/16/1999,1752.251353
4/19/1999,1698.437084
4/20/1999,1730.49684
4/21/1999,1795.938893
4/22/1999,1815.382908
4/23/1999,1803.205131
4/26/1999,1812.731903
4/27/1999,1800.602727
4/28/1999,1793.068505
4/29/1999,1773.386752
4/30/1999,1753.364258
5/3/1999,1764.576822
5/4/1999,1744.137536
5/5/1999,1792.892513
5/6/1999,1789.752449
5/7/1999,1810.991767
5/10/1999,1788.793524
5/11/1999,1807.354169
5/12/1999,1831.754496
5/13/1999,1844.104567
5/14/1999,1811.641235
5/17/1999,1835.517638
5/18/1999,1812.04609
5/19/1999,1827.211835
5/20/1999,1817.179239
5/21/1999,1795.56233
5/24/1999,1763.154888
5/25/1999,1737.163911
5/26/1999,1762.487483
5/27/1999,1732.114243
5/28/1999,1763.817966
5/31/1999,1763.817966
6/1/1999,1746.761586
6/2/1999,1749.542779
6/3/1999,1743.618544
6/4/1999,1775.279226
6/7/1999,1801.350876
6/8/1999,1797.057932
6/9/1999,1814.545887
6/10/1999,1795.317378
6/11/1999,1779.449474
6/14/1999,1770.955004
6/15/1999,1765.945684
6/16/1999,1802.241211
6/17/1999,1819.699815
6/18/1999,1843.587107
6/21/1999,1858.857746
6/22/1999,1832.313653
6/23/1999,1826.168645
6/24/1999,1797.335212
6/25/1999,1802.559406
6/28/1999,1825.818825
6/29/1999,1836.110616
6/30/1999,1860.485951
7/1/1999,1854.649773
7/2/1999,1858.641547
7/5/1999,1858.641547
7/6/1999,1863.697343
7/7/1999,1881.96474
7/8/1999,1895.143403
7/9/1999,1886.278416
7/12/1999,1897.673026
7/13/1999,1890.200755
7/14/1999,1892.024434
7/15/1999,1912.55136
7/16/1999,1937.961826
7/19/1999,1927.07784
7/20/1999,1895.836008
7/21/1999,1910.599886
7/22/1999,1877.64433
7/23/1999,1873.127296
7/26/1999,1852.059947
7/27/1999,1879.364989
7/28/1999,1881.69579
7/29/1999,1849.791959
7/30/1999,1828.280838
8/2/1999,1830.995077
8/3/1999,1806.123211
8/4/1999,1758.030802
8/5/1999,1776.345704
8/6/1999,1767.865229
8/9/1999,1736.843361
8/10/1999,1687.242112
8/11/1999,1705.080914
8/12/1999,1715.426817
8/13/1999,1757.532617
8/16/1999,1752.548917
8/17/1999,1786.189854
8/18/1999,1759.265077
8/19/1999,1726.583989
8/20/1999,1699.010543
8/23/1999,1720.483204
8/24/1999,1718.946507
8/25/1999,1764.610578
8/26/1999,1756.251675
8/27/1999,1724.943885
8/30/1999,1696.091625
8/31/1999,1680.744672
9/1/1999,1705.680372
9/2/1999,1680.508911
9/3/1999,1730.410193
9/6/1999,1730.410193
