Date,USA IMI/CONSUMER DISCR
5/31/1994,292.1248618
6/1/1994,291.8651151
6/2/1994,291.565177
6/3/1994,293.3842091
6/6/1994,292.0100486
6/7/1994,291.4211729
6/8/1994,290.6780197
6/9/1994,291.4578533
6/10/1994,291.6349043
6/13/1994,292.1167503
6/14/1994,294.9953092
6/15/1994,294.3368039
6/16/1994,295.5333619
6/17/1994,293.0191405
6/20/1994,289.8162846
6/21/1994,286.6006896
6/22/1994,287.6644016
6/23/1994,284.679099
6/24/1994,280.5703224
6/27/1994,283.5952715
6/28/1994,282.974868
6/29/1994,284.6203306
6/30/1994,283.5887662
7/1/1994,285.4535892
7/4/1994,285.4535892
7/5/1994,284.6703369
7/6/1994,284.2922685
7/7/1994,286.4710041
7/8/1994,287.290622
7/11/1994,285.3416176
7/12/1994,286.6110969
7/13/1994,288.0205202
7/14/1994,290.5265602
7/15/1994,291.1820564
7/18/1994,292.4487366
7/19/1994,290.9922523
7/20/1994,289.4813386
7/21/1994,290.0389962
7/22/1994,289.6215723
7/25/1994,289.5412865
7/26/1994,289.6020789
7/27/1994,287.5980296
7/28/1994,287.8861099
7/29/1994,290.6904029
8/1/1994,292.1333415
8/2/1994,291.5131371
8/3/1994,291.0650258
8/4/1994,287.7818103
8/5/1994,286.9142747
8/8/1994,287.5038958
8/9/1994,287.3667209
8/10/1994,288.275306
8/11/1994,288.3208454
8/12/1994,289.2858293
8/15/1994,288.9316006
8/16/1994,291.6743382
8/17/1994,292.8341234
8/18/1994,291.4017891
8/19/1994,291.2034528
8/22/1994,290.2714598
8/23/1994,292.5101739
8/24/1994,296.4003682
8/25/1994,294.9612388
8/26/1994,298.5274682
8/29/1994,298.7353051
8/30/1994,299.5225572
8/31/1994,298.6065412
9/1/1994,297.7468572
9/2/1994,296.831591
9/5/1994,296.831591
9/6/1994,298.7434027
9/7/1994,298.145792
9/8/1994,300.5874636
9/9/1994,298.6442507
9/12/1994,297.0239081
9/13/1994,298.1287975
9/14/1994,298.2062181
9/15/1994,301.1112407
9/16/1994,299.771521
9/19/1994,299.0944345
9/20/1994,293.8195579
9/21/1994,290.9633618
9/22/1994,290.0018413
9/23/1994,287.3929999
9/26/1994,287.5079732
9/27/1994,288.3618891
9/28/1994,290.324407
9/29/1994,288.9219019
9/30/1994,289.8054379
10/3/1994,289.0776554
10/4/1994,284.7776922
10/5/1994,284.3394856
10/6/1994,282.953712
10/7/1994,283.7188537
10/10/1994,287.7559453
10/11/1994,292.2327144
10/12/1994,292.1402144
10/13/1994,293.1241414
10/14/1994,292.8552994
10/17/1994,292.6240468
10/18/1994,291.873685
10/19/1994,293.108493
10/20/1994,289.4331653
10/21/1994,287.819003
10/24/1994,285.4498393
10/25/1994,285.5549187
10/26/1994,285.8208995
10/27/1994,286.6409922
10/28/1994,291.277072
10/31/1994,290.943698
11/1/1994,288.9646712
11/2/1994,288.4090219
11/3/1994,290.8300874
11/4/1994,288.7250895
11/7/1994,288.6030149
11/8/1994,289.9249661
11/9/1994,289.7799304
11/10/1994,290.0380613
11/11/1994,288.0483932
11/14/1994,290.8956443
11/15/1994,290.5239876
11/16/1994,290.7549976
11/17/1994,288.4576923
11/18/1994,286.9412295
11/21/1994,284.6163457
11/22/1994,279.6593091
11/23/1994,278.267644
11/24/1994,278.267644
11/25/1994,280.3907752
11/28/1994,281.6013421
11/29/1994,282.3434924
11/30/1994,281.6976512
12/1/1994,277.504253
12/2/1994,279.167294
12/5/1994,279.2128474
12/6/1994,278.093152
12/7/1994,276.072661
12/8/1994,270.4384597
12/9/1994,269.4434625
12/12/1994,270.6879704
12/13/1994,271.7077541
12/14/1994,274.6036274
12/15/1994,275.9832778
12/16/1994,277.5170288
12/19/1994,276.5370524
12/20/1994,276.0277389
12/21/1994,278.5242405
12/22/1994,279.827968
12/23/1994,281.2332875
12/26/1994,281.2332875
12/27/1994,281.2189322
12/28/1994,279.3672416
12/29/1994,281.3215657
12/30/1994,282.1958448
1/2/1995,282.1958448
1/3/1995,280.8676021
1/4/1995,282.6510756
1/5/1995,283.007092
1/6/1995,283.3896451
1/9/1995,283.4240565
1/10/1995,282.4004305
1/11/1995,282.9785126
1/12/1995,283.0860453
1/13/1995,285.345188
1/16/1995,286.7084013
1/17/1995,287.125951
1/18/1995,285.7225779
1/19/1995,283.7597596
1/20/1995,282.0266362
1/23/1995,281.6304999
1/24/1995,281.9063985
1/25/1995,282.5348145
1/26/1995,281.9578082
1/27/1995,283.3501377
1/30/1995,282.1596428
1/31/1995,283.2472552
2/1/1995,285.0700146
2/2/1995,286.7216804
2/3/1995,289.6578685
2/6/1995,291.3304477
2/7/1995,291.8100078
2/8/1995,292.0359854
2/9/1995,292.1438786
2/10/1995,293.8882172
2/13/1995,294.2077473
2/14/1995,294.0737417
2/15/1995,295.1591204
2/16/1995,294.8042019
2/17/1995,292.9888829
2/20/1995,292.9888829
2/21/1995,292.9591467
2/22/1995,293.6332947
2/23/1995,294.607957
2/24/1995,294.8689131
2/27/1995,291.8196076
2/28/1995,293.624059
3/1/1995,292.9137362
3/2/1995,292.5532845
3/3/1995,292.3900768
3/6/1995,290.9559594
3/7/1995,289.5870955
3/8/1995,289.5906786
3/9/1995,289.6434167
3/10/1995,293.0966852
3/13/1995,293.6083025
3/14/1995,294.0300435
3/15/1995,293.2566471
3/16/1995,294.9684188
3/17/1995,294.4465285
3/20/1995,294.4035434
3/21/1995,294.1470223
3/22/1995,293.5749263
3/23/1995,292.9284709
3/24/1995,296.0863071
3/27/1995,297.1149964
3/28/1995,298.4807103
3/29/1995,299.8402243
3/30/1995,301.7708837
3/31/1995,300.9539625
4/3/1995,301.4651703
4/4/1995,301.1462064
4/5/1995,301.1262811
4/6/1995,299.8920962
4/7/1995,299.743467
4/10/1995,299.8851989
4/11/1995,298.4165614
4/12/1995,300.1888399
4/13/1995,300.4869972
4/14/1995,300.4869972
4/17/1995,299.0102615
4/18/1995,296.6448168
4/19/1995,296.5153379
4/20/1995,295.9867651
4/21/1995,296.7454117
4/24/1995,297.6236652
4/25/1995,296.0572077
4/26/1995,295.7412575
4/27/1995,296.8961009
4/28/1995,297.7830767
5/1/1995,295.5087147
5/2/1995,295.4855367
5/3/1995,298.52565
5/4/1995,297.0194846
5/5/1995,297.2761533
5/8/1995,299.230902
5/9/1995,299.6695587
5/10/1995,301.5366521
5/11/1995,304.5862291
