Date,USA IMI/CONSUMER STAPLES
5/31/1994,230.7658082
6/1/1994,230.4420508
6/2/1994,232.0573394
6/3/1994,234.3677624
6/6/1994,234.9765656
6/7/1994,235.1917
6/8/1994,234.0870359
6/9/1994,231.9969355
6/10/1994,231.4710164
6/13/1994,230.4384331
6/14/1994,231.7202615
6/15/1994,230.7508467
6/16/1994,232.0746085
6/17/1994,231.5221013
6/20/1994,231.4185582
6/21/1994,230.9918334
6/22/1994,232.2118647
6/23/1994,229.6610331
6/24/1994,227.1834634
6/27/1994,228.9449935
6/28/1994,228.1334389
6/29/1994,228.525774
6/30/1994,226.7457764
7/1/1994,228.3863286
7/4/1994,228.3863286
7/5/1994,228.5685796
7/6/1994,228.9986766
7/7/1994,229.3457381
7/8/1994,229.8223431
7/11/1994,229.7233634
7/12/1994,229.2418761
7/13/1994,228.5545776
7/14/1994,230.9272106
7/15/1994,231.9997135
7/18/1994,232.2038483
7/19/1994,231.5739616
7/20/1994,231.063291
7/21/1994,231.441103
7/22/1994,231.3647917
7/25/1994,232.8155017
7/26/1994,232.4945035
7/27/1994,232.2541406
7/28/1994,232.6934448
7/29/1994,234.4954753
8/1/1994,234.7801433
8/2/1994,234.190355
8/3/1994,233.9119157
8/4/1994,233.6155076
8/5/1994,233.6469618
8/8/1994,234.2057444
8/9/1994,234.3801645
8/10/1994,236.3642584
8/11/1994,235.8062982
8/12/1994,239.1546632
8/15/1994,239.0130953
8/16/1994,240.6788755
8/17/1994,240.9017971
8/18/1994,243.0431411
8/19/1994,242.7323017
8/22/1994,243.0363468
8/23/1994,244.3695997
8/24/1994,245.4912137
8/25/1994,245.1804577
8/26/1994,248.2930114
8/29/1994,247.6019944
8/30/1994,248.2169575
8/31/1994,249.9786755
9/1/1994,249.2454385
9/2/1994,247.9779413
9/5/1994,247.9779413
9/6/1994,247.6678473
9/7/1994,247.3829874
9/8/1994,248.1798116
9/9/1994,246.4090596
9/12/1994,245.293154
9/13/1994,245.3847648
9/14/1994,247.454523
9/15/1994,251.735358
9/16/1994,249.5636939
9/19/1994,250.445705
9/20/1994,247.3419268
9/21/1994,247.0638051
9/22/1994,247.2945031
9/23/1994,246.368179
9/26/1994,249.0714349
9/27/1994,248.8352487
9/28/1994,250.1829289
9/29/1994,249.334842
9/30/1994,250.3564553
10/3/1994,251.0571536
10/4/1994,247.7461515
10/5/1994,247.9535758
10/6/1994,247.8378212
10/7/1994,247.9817656
10/10/1994,248.9687883
10/11/1994,253.9279494
10/12/1994,253.0798201
10/13/1994,254.5877684
10/14/1994,255.3194284
10/17/1994,255.8753548
10/18/1994,255.8716899
10/19/1994,257.0302594
10/20/1994,254.4904326
10/21/1994,253.5438773
10/24/1994,251.5490012
10/25/1994,253.8164254
10/26/1994,255.4650804
10/27/1994,257.6987897
10/28/1994,259.623025
10/31/1994,257.468091
11/1/1994,256.9245027
11/2/1994,256.0284597
11/3/1994,256.3766643
11/4/1994,254.2019956
11/7/1994,255.1203748
11/8/1994,257.1822443
11/9/1994,256.2110821
11/10/1994,256.21614
11/11/1994,256.9593805
11/14/1994,259.7641454
11/15/1994,259.2815433
11/16/1994,260.671948
11/17/1994,260.4199434
11/18/1994,260.4149055
11/21/1994,259.2872722
11/22/1994,255.2034724
11/23/1994,254.4073561
11/24/1994,254.4073561
11/25/1994,254.9437877
11/28/1994,256.0360504
11/29/1994,255.5908488
11/30/1994,253.9279614
12/1/1994,251.6206567
12/2/1994,254.4415986
12/5/1994,254.028058
12/6/1994,253.3888662
12/7/1994,252.7006122
12/8/1994,250.8914627
12/9/1994,251.2334288
12/12/1994,252.2331276
12/13/1994,253.5240171
12/14/1994,255.4985143
12/15/1994,255.4773661
12/16/1994,257.0131656
12/19/1994,256.3499993
12/20/1994,256.4593864
12/21/1994,257.9372636
12/22/1994,256.1014654
12/23/1994,256.8797208
12/26/1994,256.8797208
12/27/1994,258.5116725
12/28/1994,258.3282104
12/29/1994,258.0110499
12/30/1994,256.8376062
1/2/1995,256.8376062
1/3/1995,257.2467073
1/4/1995,256.8062161
1/5/1995,254.6119207
1/6/1995,254.5641405
1/9/1995,254.5018788
1/10/1995,254.4046364
1/11/1995,254.1219863
1/12/1995,254.8707946
1/13/1995,256.8647292
1/16/1995,257.699142
1/17/1995,258.3980346
1/18/1995,256.5973173
1/19/1995,255.379055
1/20/1995,254.7684623
1/23/1995,256.2230881
1/24/1995,255.7509402
1/25/1995,256.9733045
1/26/1995,259.1708266
1/27/1995,262.4414226
1/30/1995,262.582812
1/31/1995,262.955347
2/1/1995,262.3197388
2/2/1995,263.9110284
2/3/1995,266.655777
2/6/1995,268.0680791
2/7/1995,268.521184
2/8/1995,267.7384335
2/9/1995,266.6358436
2/10/1995,267.6873137
2/13/1995,267.2185172
2/14/1995,267.7881083
2/15/1995,267.6623423
2/16/1995,268.7062914
2/17/1995,267.524168
2/20/1995,267.524168
2/21/1995,267.0303635
2/22/1995,267.1085445
2/23/1995,269.1577055
2/24/1995,271.3707779
2/27/1995,269.2557357
2/28/1995,270.5085103
3/1/1995,269.8557842
3/2/1995,269.8734344
3/3/1995,270.7957994
3/6/1995,272.5233506
3/7/1995,269.9473067
3/8/1995,270.2556368
3/9/1995,271.1059787
3/10/1995,275.4766675
3/13/1995,275.7848398
3/14/1995,277.9808735
3/15/1995,278.2216779
3/16/1995,279.6602753
3/17/1995,280.5330166
3/20/1995,281.8836734
3/21/1995,282.7382857
3/22/1995,282.4535279
3/23/1995,281.7583627
3/24/1995,283.1488052
3/27/1995,283.3370942
3/28/1995,282.6401987
3/29/1995,281.7054271
3/30/1995,279.8062155
3/31/1995,278.2606041
4/3/1995,279.9221705
4/4/1995,283.061697
4/5/1995,282.8073776
4/6/1995,283.6367163
4/7/1995,284.0953852
4/10/1995,284.4847622
4/11/1995,282.9706626
4/12/1995,284.4068924
4/13/1995,284.8204499
4/14/1995,284.8204499
4/17/1995,282.1145392
4/18/1995,282.4352806
4/19/1995,283.0272723
4/20/1995,282.846606
4/21/1995,285.5881627
4/24/1995,287.7139506
4/25/1995,286.3983519
4/26/1995,285.8073787
4/27/1995,285.3368811
4/28/1995,286.9247034
5/1/1995,286.2692498
5/2/1995,287.9620198
5/3/1995,292.7556228
5/4/1995,292.2049459
