Date,USA IMI/HEALTH CARE
5/31/1994,189.0381107
6/1/1994,189.441937
6/2/1994,190.1443191
6/3/1994,191.5841415
6/6/1994,190.3466762
6/7/1994,190.9055412
6/8/1994,189.669285
6/9/1994,190.4471368
6/10/1994,190.5688566
6/13/1994,191.1069231
6/14/1994,191.7521037
6/15/1994,191.1938121
6/16/1994,191.4507374
6/17/1994,190.2106397
6/20/1994,188.7124775
6/21/1994,187.7671994
6/22/1994,186.5339511
6/23/1994,185.003506
6/24/1994,182.7643234
6/27/1994,183.7662037
6/28/1994,184.0368534
6/29/1994,184.5564753
6/30/1994,182.6977984
7/1/1994,183.2231933
7/4/1994,183.2231933
7/5/1994,183.7379192
7/6/1994,182.8588799
7/7/1994,183.6131727
7/8/1994,183.8241921
7/11/1994,182.4823077
7/12/1994,181.5352441
7/13/1994,182.4777608
7/14/1994,184.92373
7/15/1994,184.9898979
7/18/1994,184.9218257
7/19/1994,184.2241772
7/20/1994,182.9540322
7/21/1994,183.3584811
7/22/1994,183.3207473
7/25/1994,184.7440299
7/26/1994,184.2667901
7/27/1994,184.2782601
7/28/1994,184.3364434
7/29/1994,185.6860853
8/1/1994,186.0290331
8/2/1994,188.5257121
8/3/1994,189.7378711
8/4/1994,189.1492868
8/5/1994,188.7819587
8/8/1994,189.0582581
8/9/1994,190.2685696
8/10/1994,194.0573859
8/11/1994,194.1370265
8/12/1994,195.549704
8/15/1994,197.0353381
8/16/1994,199.6752215
8/17/1994,201.898567
8/18/1994,201.247037
8/19/1994,202.1202489
8/22/1994,202.5071239
8/23/1994,203.2787919
8/24/1994,203.5025928
8/25/1994,203.0119336
8/26/1994,205.2002776
8/29/1994,205.5961609
8/30/1994,205.8795231
8/31/1994,206.3658937
9/1/1994,206.6011845
9/2/1994,205.6415812
9/5/1994,205.6415812
9/6/1994,205.1455208
9/7/1994,205.382829
9/8/1994,206.6040693
9/9/1994,205.9215201
9/12/1994,205.070546
9/13/1994,205.7855585
9/14/1994,206.0049475
9/15/1994,207.9998793
9/16/1994,206.9235823
9/19/1994,208.0098249
9/20/1994,205.256816
9/21/1994,204.852961
9/22/1994,205.2625035
9/23/1994,205.0485875
9/26/1994,205.3459727
9/27/1994,207.6320377
9/28/1994,209.3751362
9/29/1994,208.3077658
9/30/1994,209.7879704
10/3/1994,210.8370671
10/4/1994,208.0980884
10/5/1994,206.7476251
10/6/1994,206.2272855
10/7/1994,207.8267609
10/10/1994,208.9898459
10/11/1994,211.3093262
10/12/1994,211.755532
10/13/1994,211.5262347
10/14/1994,211.2289025
10/17/1994,211.2049964
10/18/1994,210.0141619
10/19/1994,211.1862827
10/20/1994,210.8910526
10/21/1994,209.832657
10/24/1994,208.3443751
10/25/1994,207.5121284
10/26/1994,207.7956317
10/27/1994,209.2671659
10/28/1994,211.4435363
10/31/1994,211.5759169
11/1/1994,210.9190534
11/2/1994,210.1577502
11/3/1994,209.9610129
11/4/1994,208.2762855
11/7/1994,208.6436144
11/8/1994,210.1186587
11/9/1994,212.7503876
11/10/1994,213.3781353
11/11/1994,212.9654714
11/14/1994,214.3577683
11/15/1994,213.2730697
11/16/1994,214.121606
11/17/1994,213.7256671
11/18/1994,213.9766762
11/21/1994,211.9413591
11/22/1994,207.2589191
11/23/1994,205.9535984
11/24/1994,205.9535984
11/25/1994,207.2707878
11/28/1994,209.2773696
11/29/1994,210.6086352
11/30/1994,211.183203
12/1/1994,209.629314
12/2/1994,210.4881351
12/5/1994,210.4012567
12/6/1994,210.8981634
12/7/1994,209.2415764
12/8/1994,204.7018493
12/9/1994,205.3373339
12/12/1994,207.2296611
12/13/1994,206.5774796
12/14/1994,208.9384844
12/15/1994,209.2188007
12/16/1994,210.0807014
12/19/1994,210.83166
12/20/1994,211.8432687
12/21/1994,213.288169
12/22/1994,212.91179
12/23/1994,213.7785432
12/26/1994,213.7785432
12/27/1994,214.4101261
12/28/1994,213.1174904
12/29/1994,213.4951445
12/30/1994,212.8501312
1/2/1995,212.8501312
1/3/1995,211.7433703
1/4/1995,212.3060127
1/5/1995,212.4863384
1/6/1995,212.0822145
1/9/1995,211.3164593
1/10/1995,211.7374967
1/11/1995,211.8051344
1/12/1995,210.6497423
1/13/1995,212.4551138
1/16/1995,214.2200979
1/17/1995,215.1637682
1/18/1995,215.6758249
1/19/1995,215.4457764
1/20/1995,214.9272467
1/23/1995,215.7922009
1/24/1995,216.3064395
1/25/1995,216.6929809
1/26/1995,218.257082
1/27/1995,220.0939589
1/30/1995,222.0077948
1/31/1995,225.1621496
2/1/1995,224.6719099
2/2/1995,225.0119985
2/3/1995,226.7168822
2/6/1995,229.1148214
2/7/1995,228.4794077
2/8/1995,228.8874273
2/9/1995,227.6769617
2/10/1995,227.8163046
2/13/1995,227.2916826
2/14/1995,226.4088233
2/15/1995,226.6800818
2/16/1995,226.465854
2/17/1995,226.5521761
2/20/1995,226.5521761
2/21/1995,225.728853
2/22/1995,226.9990153
2/23/1995,228.6462666
2/24/1995,229.7235787
2/27/1995,228.1180555
2/28/1995,230.2956567
3/1/1995,230.099044
3/2/1995,230.4491305
3/3/1995,230.6180146
3/6/1995,231.5351852
3/7/1995,229.6869016
3/8/1995,229.8442047
3/9/1995,229.0877892
3/10/1995,230.3669425
3/13/1995,232.0849455
3/14/1995,234.0041897
3/15/1995,234.2109691
3/16/1995,236.4729799
3/17/1995,238.2286511
3/20/1995,239.5843515
3/21/1995,239.5582429
3/22/1995,239.1514117
3/23/1995,238.9842681
3/24/1995,240.1767383
3/27/1995,241.9012745
3/28/1995,243.1178591
3/29/1995,240.7229441
3/30/1995,237.8085641
3/31/1995,237.2691835
4/3/1995,238.563745
4/4/1995,239.9909002
4/5/1995,239.3139189
4/6/1995,239.1865986
