Date,USA IMI/INDUSTRIALS
5/31/1994,218.0501041
6/1/1994,218.5692186
6/2/1994,219.4155485
6/3/1994,220.0392971
6/6/1994,220.174135
6/7/1994,219.2919524
6/8/1994,218.5899868
6/9/1994,218.5087384
6/10/1994,218.6948507
6/13/1994,219.6465161
6/14/1994,221.3053552
6/15/1994,220.3688158
6/16/1994,221.634039
6/17/1994,220.2930849
6/20/1994,218.368013
6/21/1994,215.5318924
6/22/1994,215.8666265
6/23/1994,215.0411721
6/24/1994,212.2759603
6/27/1994,214.1117876
6/28/1994,213.8150126
6/29/1994,214.4661227
6/30/1994,212.5750865
7/1/1994,213.3920013
7/4/1994,213.3920013
7/5/1994,213.8260947
7/6/1994,214.1915192
7/7/1994,215.1725947
7/8/1994,215.3403443
7/11/1994,214.6037541
7/12/1994,214.6778419
7/13/1994,215.2329686
7/14/1994,217.5705239
7/15/1994,217.9909127
7/18/1994,217.957402
7/19/1994,218.442667
7/20/1994,217.3278464
7/21/1994,216.7538131
7/22/1994,217.6320682
7/25/1994,218.2449079
7/26/1994,217.0675467
7/27/1994,216.9209967
7/28/1994,217.6657195
7/29/1994,219.6289021
8/1/1994,220.9100739
8/2/1994,220.670058
8/3/1994,220.8541073
8/4/1994,219.6330084
8/5/1994,218.9647046
8/8/1994,219.2506045
8/9/1994,219.3226511
8/10/1994,219.4915667
8/11/1994,217.8782199
8/12/1994,219.1133475
8/15/1994,219.8889055
8/16/1994,220.7316881
8/17/1994,220.6590164
8/18/1994,218.9762344
8/19/1994,219.4788283
8/22/1994,218.9574141
8/23/1994,221.2109749
8/24/1994,222.9553994
8/25/1994,223.4772186
8/26/1994,226.3546874
8/29/1994,226.6489161
8/30/1994,227.7389055
8/31/1994,227.6392415
9/1/1994,227.0281596
9/2/1994,226.3289342
9/5/1994,226.3289342
9/6/1994,225.4446669
9/7/1994,224.8045394
9/8/1994,225.5392307
9/9/1994,224.1153408
9/12/1994,222.4706514
9/13/1994,223.0672059
9/14/1994,224.1739229
9/15/1994,227.0841038
9/16/1994,225.8580467
9/19/1994,225.0508231
9/20/1994,221.7962541
9/21/1994,220.3499896
9/22/1994,219.6144539
9/23/1994,218.7640297
9/26/1994,219.9495144
9/27/1994,219.6801591
9/28/1994,220.6550562
9/29/1994,219.9499953
9/30/1994,220.1313737
10/3/1994,218.7312354
10/4/1994,216.1721521
10/5/1994,215.0012185
10/6/1994,214.476881
10/7/1994,215.0523612
