Date,USA IMI/INFORMATION TECH
5/31/1994,249.0378098
6/1/1994,252.0573294
6/2/1994,251.6117667
6/3/1994,250.3938947
6/6/1994,250.668897
6/7/1994,247.6745064
6/8/1994,241.4402639
6/9/1994,239.4275547
6/10/1994,243.0856525
6/13/1994,242.9439031
6/14/1994,246.5167094
6/15/1994,246.4797634
6/16/1994,244.9076195
6/17/1994,241.7348807
6/20/1994,238.7834372
6/21/1994,234.160555
6/22/1994,237.1834649
6/23/1994,231.0954391
6/24/1994,229.7213172
6/27/1994,236.4275393
6/28/1994,237.1901166
6/29/1994,237.0925411
6/30/1994,235.0487015
7/1/1994,234.5751776
7/4/1994,234.5751776
7/5/1994,232.7348622
7/6/1994,231.1154963
7/7/1994,235.1552908
7/8/1994,236.4639134
7/11/1994,236.4827506
7/12/1994,240.4235734
7/13/1994,245.4788859
7/14/1994,245.1791886
7/15/1994,241.1083265
7/18/1994,242.4591281
7/19/1994,238.9117598
7/20/1994,235.0418757
7/21/1994,237.8102138
7/22/1994,239.4421583
7/25/1994,239.8492467
7/26/1994,239.154775
7/27/1994,237.9905547
7/28/1994,239.2188666
7/29/1994,244.5760513
8/1/1994,246.5391235
8/2/1994,246.475068
8/3/1994,246.5565866
8/4/1994,244.9200151
8/5/1994,244.9355774
8/8/1994,247.164535
8/9/1994,249.437415
8/10/1994,253.4986449
8/11/1994,254.6551283
8/12/1994,254.3816439
8/15/1994,254.1576332
8/16/1994,258.4112816
8/17/1994,261.6467112
8/18/1994,261.1577579
8/19/1994,261.6864705
8/22/1994,261.4037885
8/23/1994,262.3448515
8/24/1994,263.3793182
8/25/1994,267.4069145
8/26/1994,271.2441305
8/29/1994,270.3994156
8/30/1994,271.8476438
8/31/1994,269.2643254
9/1/1994,264.6801335
9/2/1994,263.8534176
9/5/1994,263.8534176
9/6/1994,264.5227441
9/7/1994,268.2452063
9/8/1994,270.538286
9/9/1994,267.2991203
9/12/1994,265.1807047
9/13/1994,268.9202795
9/14/1994,270.3762725
9/15/1994,275.4644413
9/16/1994,275.31397
9/19/1994,274.6816525
9/20/1994,270.970262
9/21/1994,269.3369344
9/22/1994,269.3008008
9/23/1994,266.8978607
9/26/1994,265.5858894
9/27/1994,266.1712708
9/28/1994,266.427359
9/29/1994,267.4474316
9/30/1994,268.2119876
10/3/1994,266.5543749
10/4/1994,260.2277615
10/5/1994,261.6555311
10/6/1994,260.0502251
10/7/1994,264.8640721
10/10/1994,270.2754494
10/11/1994,275.1300441
10/12/1994,276.032941
10/13/1994,275.1236614
10/14/1994,274.9492942
10/17/1994,274.3830767
10/18/1994,275.9588719
10/19/1994,280.2858215
10/20/1994,280.9855582
10/21/1994,281.1427911
10/24/1994,278.8751513
10/25/1994,279.0831779
10/26/1994,283.3768444
10/27/1994,285.1709215
10/28/1994,291.0255076
10/31/1994,291.2336854
11/1/1994,290.3945076
11/2/1994,291.6522242
11/3/1994,290.8491964
11/4/1994,285.2754774
11/7/1994,284.3308392
11/8/1994,289.0612583
11/9/1994,289.8872252
11/10/1994,286.8562352
11/11/1994,286.056533
11/14/1994,291.4996861
11/15/1994,292.8559133
11/16/1994,293.4823713
11/17/1994,292.8164593
11/18/1994,293.3102998
11/21/1994,291.298495
11/22/1994,280.9186831
11/23/1994,279.4357506
11/24/1994,279.4357506
11/25/1994,282.8935829
11/28/1994,285.3482966
11/29/1994,288.3627057
11/30/1994,285.3378057
12/1/1994,280.4175554
12/2/1994,284.1206593
12/5/1994,286.4397199
12/6/1994,285.7805275
12/7/1994,282.4344952
12/8/1994,274.0963022
12/9/1994,277.3231335
12/12/1994,276.4951718
12/13/1994,275.6835003
12/14/1994,278.5965743
12/15/1994,280.9775004
12/16/1994,280.2835032
12/19/1994,278.7616274
12/20/1994,278.9516157
12/21/1994,285.5195432
12/22/1994,286.915362
12/23/1994,288.8404269
12/26/1994,288.8404269
12/27/1994,292.3982007
12/28/1994,290.3833068
12/29/1994,294.5608351
12/30/1994,292.3073593
1/2/1995,292.3073593
1/3/1995,287.6888108
1/4/1995,288.32899
1/5/1995,287.9829288
1/6/1995,290.8020868
1/9/1995,293.1041094
1/10/1995,298.3970951
1/11/1995,297.7999705
1/12/1995,299.5405675
1/13/1995,301.6178481
1/16/1995,304.7890593
1/17/1995,306.1240408
1/18/1995,306.5235039
1/19/1995,304.9171685
1/20/1995,299.3198863
1/23/1995,298.0080725
1/24/1995,299.5516334
1/25/1995,294.5041187
1/26/1995,291.3075086
1/27/1995,292.1953541
1/30/1995,287.0854321
1/31/1995,288.3796725
2/1/1995,291.2086564
2/2/1995,293.9509577
2/3/1995,296.6969299
2/6/1995,299.3087556
2/7/1995,298.4445163
2/8/1995,301.0729003
2/9/1995,304.9607369
2/10/1995,306.8775623
2/13/1995,306.6170153
2/14/1995,307.7971167
2/15/1995,308.7590185
2/16/1995,312.0255074
2/17/1995,305.8302158
2/20/1995,305.8302158
2/21/1995,304.62513
2/22/1995,306.6155579
2/23/1995,306.1096121
2/24/1995,305.4000691
2/27/1995,302.9465383
2/28/1995,308.5881548
3/1/1995,309.3758043
3/2/1995,310.9990832
3/3/1995,316.1288505
3/6/1995,317.0719247
3/7/1995,314.1200172
3/8/1995,315.9523651
3/9/1995,317.1987751
3/10/1995,319.689534
3/13/1995,322.0310563
3/14/1995,324.3835643
3/15/1995,323.1172787
3/16/1995,323.7163399
3/17/1995,321.7884173
3/20/1995,324.3555811
3/21/1995,323.9426085
3/22/1995,323.9747767
3/23/1995,326.9256443
3/24/1995,331.6743505
3/27/1995,334.6191248
3/28/1995,336.1406641
3/29/1995,330.8079012
3/30/1995,326.2322867
3/31/1995,324.7460084
4/3/1995,326.1149109
4/4/1995,322.3121076
4/5/1995,323.4353264
4/6/1995,322.0249804
4/7/1995,323.9094988
4/10/1995,329.0070464
4/11/1995,330.6454669
4/12/1995,333.082981
4/13/1995,336.0331176
4/14/1995,336.0331176
4/17/1995,335.4895128
4/18/1995,334.1333925
4/19/1995,329.5907526
4/20/1995,332.2616313
4/21/1995,335.8422315
4/24/1995,343.2924957
4/25/1995,346.4583425
4/26/1995,351.0330137
4/27/1995,353.0186623
4/28/1995,353.8376112
5/1/1995,351.0661599
5/2/1995,351.4913535
5/3/1995,358.7100961
5/4/1995,359.0636381
5/5/1995,355.645491
5/8/1995,358.3814163
5/9/1995,357.4826166
5/10/1995,357.2396432
5/11/1995,361.0662673
5/12/1995,363.9332104
5/15/1995,367.854434
5/16/1995,370.1990332
5/17/1995,373.644082
5/18/1995,368.4670837
5/19/1995,368.0023426
5/22/1995,373.296916
5/23/1995,381.9732447
5/24/1995,379.1073954
5/25/1995,379.6916601
5/26/1995,373.2298212
5/29/1995,373.2298212
5/30/1995,360.6614336
5/31/1995,364.7389946
6/1/1995,369.9916026
6/2/1995,371.2622979
6/5/1995,373.5812853
6/6/1995,370.3836176
6/7/1995,370.6462076
6/8/1995,373.461553
6/9/1995,373.2329939
6/12/1995,374.5040067
6/13/1995,378.014929
6/14/1995,381.1157531
6/15/1995,385.1807091
6/16/1995,388.7713486
6/19/1995,399.8889901
6/20/1995,407.3095532
6/21/1995,403.7578026
6/22/1995,410.5359145
6/23/1995,410.1615673
6/26/1995,403.3624222
6/27/1995,396.8976362
6/28/1995,396.0289235
6/29/1995,402.1528409
6/30/1995,403.0474251
7/3/1995,405.2894753
7/4/1995,405.2894753
7/5/1995,407.5744558
7/6/1995,416.3135216
7/7/1995,425.0198596
7/10/1995,428.0450206
7/11/1995,422.6021881
7/12/1995,436.5837712
7/13/1995,440.0218615
7/14/1995,442.8981194
7/17/1995,448.9478348
7/18/1995,435.9750563
7/19/1995,412.9162562
7/20/1995,417.1077992
7/21/1995,417.2799835
7/24/1995,429.4261899
7/25/1995,437.5641346
7/26/1995,439.9256875
7/27/1995,446.0978841
7/28/1995,440.9551671
7/31/1995,435.6390887
8/1/1995,428.3767254
8/2/1995,419.4400015
8/3/1995,420.9121452
8/4/1995,425.0248141
8/7/1995,427.0067963
8/8/1995,429.1379894
8/9/1995,434.4297049
8/10/1995,430.826968
8/11/1995,434.6440904
8/14/1995,442.1780931
8/15/1995,443.4286063
8/16/1995,453.4388898
8/17/1995,454.5769492
8/18/1995,452.8077307
8/21/1995,437.9872994
8/22/1995,445.6565114
8/23/1995,446.6632449
8/24/1995,441.7333451
8/25/1995,437.1005125
8/28/1995,426.6238978
8/29/1995,425.5856677
8/30/1995,428.6695811
8/31/1995,434.2160609
9/1/1995,431.4520109
9/4/1995,431.4520109
9/5/1995,445.0683182
9/6/1995,449.6607242
9/7/1995,451.9943441
9/8/1995,455.9926745
9/11/1995,459.1145702
9/12/1995,455.5040563
9/13/1995,456.6113635
9/14/1995,452.3061375
9/15/1995,440.1825721
9/18/1995,444.6444134
9/19/1995,453.3566471
9/20/1995,453.7889782
9/21/1995,446.2919294
9/22/1995,443.020334
9/25/1995,438.3600616
9/26/1995,434.7687724
9/27/1995,431.1174084
9/28/1995,444.0667007
9/29/1995,438.1436316
10/2/1995,430.5250022
10/3/1995,427.0259628
10/4/1995,414.0213498
10/5/1995,422.0955924
10/6/1995,417.5722715
10/9/1995,401.6633495
10/10/1995,401.1822891
10/11/1995,410.8638652
10/12/1995,418.9812135
10/13/1995,418.4697021
