Date,USA IMI/MATERIALS
5/31/1994,290.0859829
6/1/1994,289.79577
6/2/1994,290.0951244
6/3/1994,291.3622707
6/6/1994,291.1585256
6/7/1994,289.9394789
6/8/1994,289.8777495
6/9/1994,290.0068854
6/10/1994,290.9152119
6/13/1994,294.2639912
6/14/1994,295.7501304
6/15/1994,295.9840683
6/16/1994,297.2118198
6/17/1994,295.2756821
6/20/1994,291.1738793
6/21/1994,289.2038008
6/22/1994,290.8293468
6/23/1994,288.5404021
6/24/1994,283.6379072
6/27/1994,285.107356
6/28/1994,284.4371972
6/29/1994,284.8485287
6/30/1994,283.27752
7/1/1994,284.4660968
7/4/1994,284.4660968
7/5/1994,284.0126855
7/6/1994,284.4708885
7/7/1994,285.1734368
7/8/1994,286.7619029
7/11/1994,286.972182
7/12/1994,287.2480728
7/13/1994,287.5639942
7/14/1994,290.9989136
7/15/1994,293.2372945
7/18/1994,294.405854
7/19/1994,295.9123614
7/20/1994,293.9705558
7/21/1994,293.8934148
7/22/1994,294.0316885
7/25/1994,294.6341121
7/26/1994,294.6705865
7/27/1994,292.9614372
7/28/1994,293.3630192
7/29/1994,295.4297662
8/1/1994,298.2850138
8/2/1994,299.9871859
8/3/1994,300.8786724
8/4/1994,299.4542405
8/5/1994,297.7966051
8/8/1994,298.1922087
8/9/1994,298.4972919
8/10/1994,299.1654924
8/11/1994,297.7186512
8/12/1994,297.3011537
8/15/1994,296.4389294
8/16/1994,297.0701264
8/17/1994,295.5641991
8/18/1994,294.9689425
8/19/1994,295.5696844
8/22/1994,294.744196
8/23/1994,295.7491575
8/24/1994,300.9640347
8/25/1994,300.9783458
8/26/1994,304.9704432
8/29/1994,308.582955
8/30/1994,311.204417
8/31/1994,311.9484417
9/1/1994,310.5215921
9/2/1994,309.5833035
9/5/1994,309.5833035
9/6/1994,309.8574868
9/7/1994,308.6980364
9/8/1994,310.8506515
9/9/1994,308.7934781
9/12/1994,307.5785961
9/13/1994,309.2392906
9/14/1994,308.8627558
9/15/1994,311.7367342
9/16/1994,312.4958873
9/19/1994,313.9012293
9/20/1994,309.5834421
9/21/1994,307.3366193
9/22/1994,307.3941281
9/23/1994,308.8755274
9/26/1994,309.2376525
9/27/1994,310.4714979
9/28/1994,313.7369328
9/29/1994,312.9535397
9/30/1994,312.3832817
10/3/1994,311.4744342
10/4/1994,306.0720877
10/5/1994,302.7629127
10/6/1994,301.2791821
10/7/1994,301.1604678
10/10/1994,303.684374
10/11/1994,305.9106432
10/12/1994,305.0194005
10/13/1994,306.8334828
10/14/1994,308.5463725
10/17/1994,309.5002678
10/18/1994,308.0655117
10/19/1994,308.4136256
10/20/1994,308.1565814
10/21/1994,306.8254156
10/24/1994,304.08687
10/25/1994,301.1803788
10/26/1994,300.0835439
10/27/1994,301.5501303
10/28/1994,304.9059648
10/31/1994,302.2979382
11/1/1994,296.5794126
11/2/1994,294.1060097
11/3/1994,294.2651487
11/4/1994,292.6131468
11/7/1994,292.0458962
11/8/1994,293.5866266
11/9/1994,292.6019194
11/10/1994,291.1989833
11/11/1994,288.9416595
11/14/1994,290.1712912
11/15/1994,290.8020844
11/16/1994,290.0080431
11/17/1994,288.013484
11/18/1994,286.1644543
11/21/1994,283.4621474
11/22/1994,276.57447
11/23/1994,274.3357768
11/24/1994,274.3357768
11/25/1994,276.5747264
11/28/1994,277.3513498
11/29/1994,278.8529626
11/30/1994,281.2949331
12/1/1994,278.4709194
12/2/1994,281.0134276
12/5/1994,281.3843583
12/6/1994,281.8300308
12/7/1994,281.2340308
12/8/1994,278.2863684
12/9/1994,278.1798034
12/12/1994,280.2381756
12/13/1994,279.7890098
12/14/1994,283.7995766
12/15/1994,286.6615311
12/16/1994,289.4435883
12/19/1994,288.143261
12/20/1994,287.817438
