Date,USA IMI/REAL ESTATE
5/31/2007,1000
6/1/2007,1000.124154
6/4/2007,1005.326963
6/5/2007,988.1455742
6/6/2007,981.7963889
6/7/2007,953.1084804
6/8/2007,965.6297578
6/11/2007,951.2571505
6/12/2007,934.5902722
6/13/2007,954.6383428
6/14/2007,946.2727481
6/15/2007,957.0573391
6/18/2007,943.2009948
6/19/2007,946.7958308
6/20/2007,925.904881
6/21/2007,924.405454
6/22/2007,919.0440888
6/25/2007,904.5986236
6/26/2007,901.7321431
6/27/2007,921.4644368
6/28/2007,916.662678
6/29/2007,911.8812696
7/2/2007,935.0605644
7/3/2007,932.9709134
7/4/2007,932.9709134
7/5/2007,946.8125808
7/6/2007,946.5738122
7/9/2007,943.7840559
7/10/2007,919.0844257
7/11/2007,915.7750041
7/12/2007,929.4363904
7/13/2007,938.9724147
7/16/2007,933.1648341
7/17/2007,927.453518
7/18/2007,922.381426
7/19/2007,927.2755057
7/20/2007,909.5201473
7/23/2007,894.9317251
7/24/2007,872.9369624
7/25/2007,870.0181132
7/26/2007,852.7106013
7/27/2007,829.7457987
7/30/2007,836.7069746
7/31/2007,832.3375557
8/1/2007,836.7984156
8/2/2007,847.8575235
8/3/2007,819.7186292
8/6/2007,840.8142471
8/7/2007,843.5781451
8/8/2007,877.5862943
8/9/2007,871.1684919
8/10/2007,846.1062131
8/13/2007,840.1108228
8/14/2007,807.0483127
8/15/2007,796.4641183
8/16/2007,825.9731508
8/17/2007,847.9209766
8/20/2007,860.8085609
8/21/2007,871.5657934
8/22/2007,876.7241302
8/23/2007,868.4816652
8/24/2007,866.716899
8/27/2007,850.8347762
8/28/2007,825.059337
8/29/2007,847.3179886
8/30/2007,853.6911705
8/31/2007,871.3440719
9/3/2007,871.3440719
9/4/2007,882.3690908
9/5/2007,860.6644163
9/6/2007,865.065736
9/7/2007,846.9125363
9/10/2007,838.0771427
9/11/2007,851.0368911
9/12/2007,850.97691
9/13/2007,867.917361
9/14/2007,872.2365028
9/17/2007,868.1715887
9/18/2007,898.9939023
9/19/2007,914.6760948
9/20/2007,897.9907569
9/21/2007,900.1226633
9/24/2007,911.8747013
9/25/2007,896.6632312
9/26/2007,902.666687
9/27/2007,910.6929784
9/28/2007,906.5976726
10/1/2007,923.8368029
10/2/2007,938.8850025
10/3/2007,936.0537246
10/4/2007,941.3049419
10/5/2007,961.2796018
10/8/2007,947.1804706
10/9/2007,954.0616404
10/10/2007,951.4917992
10/11/2007,944.8375863
10/12/2007,937.9335062
10/15/2007,917.9589537
10/16/2007,904.8686543
10/17/2007,902.5564358
10/18/2007,904.7900245
10/19/2007,873.7366025
10/22/2007,885.3818806
10/23/2007,895.1855329
10/24/2007,888.6253499
10/25/2007,889.5051584
10/26/2007,898.2406406
10/29/2007,891.0014926
10/30/2007,897.047108
10/31/2007,911.9244818
11/1/2007,877.290354
11/2/2007,858.4348991
11/5/2007,849.3746218
11/6/2007,858.6478634
11/7/2007,829.9522838
11/8/2007,835.6777251
11/9/2007,833.5938923
11/12/2007,834.6980526
11/13/2007,865.1706357
11/14/2007,851.1993378
11/15/2007,846.0214095
11/16/2007,834.1556133
11/19/2007,813.4782768
11/20/2007,797.9009285
11/21/2007,794.8900368
11/22/2007,794.8900368
11/23/2007,812.0102959
11/26/2007,770.5971602
11/27/2007,787.6876821
11/28/2007,820.4061044
11/29/2007,817.8878853
11/30/2007,833.0919014
12/3/2007,826.7031754
12/4/2007,804.4462381
12/5/2007,829.7500408
12/6/2007,857.6301399
12/7/2007,855.8433599
12/10/2007,873.8872036
12/11/2007,825.7511577
12/12/2007,826.0832695
12/13/2007,818.154191
12/14/2007,793.3057718
12/17/2007,773.7099072
12/18/2007,781.8803146
12/19/2007,792.1250664
12/20/2007,792.3211371
12/21/2007,805.904872
12/24/2007,833.5966459
12/25/2007,833.5966459
12/26/2007,819.281507
12/27/2007,799.1625467
12/28/2007,789.5071006
12/31/2007,796.1207411
1/1/2008,796.1207411
1/2/2008,790.2010577
1/3/2008,765.0368356
1/4/2008,736.6849173
1/7/2008,744.5086162
1/8/2008,717.3116174
1/9/2008,727.953967
1/10/2008,739.5533152
1/11/2008,737.4909218
1/14/2008,736.7460378
1/15/2008,718.0294834
1/16/2008,731.1961651
1/17/2008,716.9923703
1/18/2008,708.3243537
1/21/2008,708.3243537
1/22/2008,732.0372909
1/23/2008,795.0237702
1/24/2008,779.1948697
1/25/2008,769.1983566
1/28/2008,797.1404645
1/29/2008,791.1120565
1/30/2008,776.163985
1/31/2008,792.6304765
2/1/2008,821.9260742
2/4/2008,811.6770184
2/5/2008,782.8490374
2/6/2008,771.6916616
2/7/2008,790.1658119
2/8/2008,765.5550314
2/11/2008,753.4712275
2/12/2008,772.5974233
2/13/2008,777.8387428
2/14/2008,761.5221416
2/15/2008,767.5933376
2/18/2008,767.5933376
2/19/2008,760.7142256
2/20/2008,772.8034008
2/21/2008,755.77396
2/22/2008,772.3924796
2/25/2008,796.2650573
2/26/2008,796.8503957
2/27/2008,791.1877246
2/28/2008,775.7459349
2/29/2008,761.6673678
3/3/2008,764.6563122
3/4/2008,757.5239315
3/5/2008,757.7045825
3/6/2008,721.1251086
3/7/2008,731.4658484
3/10/2008,717.8236563
3/11/2008,766.4591921
3/12/2008,752.5694011
3/13/2008,761.2828805
3/14/2008,747.2002687
3/17/2008,744.198497
3/18/2008,784.0353473
3/19/2008,774.6555298
3/20/2008,805.6952978
3/21/2008,805.6952978
3/24/2008,820.6655372
3/25/2008,824.0604221
3/26/2008,805.512556
3/27/2008,796.1804472
3/28/2008,787.053643
3/31/2008,790.8314596
4/1/2008,834.7214874
4/2/2008,834.6068572
4/3/2008,849.0135106
4/4/2008,835.8391872
4/7/2008,837.6615745
4/8/2008,825.7499793
4/9/2008,807.0337514
4/10/2008,815.3177052
4/11/2008,802.6643936
4/14/2008,798.3690384
4/15/2008,807.405986
4/16/2008,838.9351746
4/17/2008,843.9700781
4/18/2008,844.2942849
4/21/2008,836.0369692
4/22/2008,831.2045306
4/23/2008,842.3329092
4/24/2008,862.0261449
4/25/2008,865.3131888
4/28/2008,864.9937336
4/29/2008,852.2966377
4/30/2008,839.1980957
5/1/2008,860.3936657
5/2/2008,859.0127977
5/5/2008,857.4803265
5/6/2008,863.4977136
5/7/2008,838.7019207
5/8/2008,837.0246638
5/9/2008,830.8645584
5/12/2008,851.2585812
5/13/2008,852.2931667
5/14/2008,858.87271
5/15/2008,869.882323
5/16/2008,864.460877
5/19/2008,866.2861067
5/20/2008,853.6547331
5/21/2008,833.9998889
5/22/2008,830.6043094
5/23/2008,825.1100825
5/26/2008,825.1100825
5/27/2008,837.5194204
5/28/2008,838.4712187
5/29/2008,849.2081054
5/30/2008,845.2909473
6/2/2008,831.4793078
6/3/2008,836.2162526
6/4/2008,840.4038031
6/5/2008,860.5300399
6/6/2008,824.1409816
6/9/2008,806.7272079
6/10/2008,810.3768986
6/11/2008,793.2185421
6/12/2008,800.1368544
6/13/2008,815.4747907
6/16/2008,826.3296736
6/17/2008,800.8919773
6/18/2008,789.5023549
6/19/2008,807.8855517
6/20/2008,787.4326598
6/23/2008,769.3393598
6/24/2008,772.3698703
6/25/2008,783.7324141
6/26/2008,756.0887872
6/27/2008,749.313818
6/30/2008,748.0063817
7/1/2008,750.4497632
7/2/2008,735.4368385
7/3/2008,731.4295184
7/4/2008,731.4295184
7/7/2008,715.0154693
7/8/2008,764.2402412
7/9/2008,710.567589
7/10/2008,723.5916529
7/11/2008,724.1477588
7/14/2008,698.7963123
7/15/2008,693.7784938
7/16/2008,739.6076359
7/17/2008,753.4424406
7/18/2008,753.0691186
7/21/2008,755.924389
7/22/2008,780.3958563
7/23/2008,797.8915661
7/24/2008,743.4801208
7/25/2008,759.2396396
7/28/2008,737.7737029
7/29/2008,779.6278326
7/30/2008,773.8156683
7/31/2008,764.9517593
8/1/2008,766.1026426
8/4/2008,753.2310328
8/5/2008,788.5345152
8/6/2008,783.0171335
8/7/2008,761.5430949
8/8/2008,794.1986774
8/11/2008,810.3874895
8/12/2008,789.1839231
8/13/2008,778.903307
8/14/2008,792.9613737
8/15/2008,790.1935355
8/18/2008,773.6434984
8/19/2008,756.4821453
8/20/2008,758.0976515
8/21/2008,748.3140965
8/22/2008,773.4901824
8/25/2008,748.5710104
8/26/2008,756.8283023
