Date,USA IMI/UTILITIES
5/31/1994,250.9411406
6/1/1994,251.9699836
6/2/1994,251.5625683
6/3/1994,252.6129716
6/6/1994,254.1769461
6/7/1994,253.4212017
6/8/1994,253.2999556
6/9/1994,252.542935
6/10/1994,252.9911145
6/13/1994,252.9603682
6/14/1994,253.6098381
6/15/1994,252.6683103
6/16/1994,251.0866994
6/17/1994,249.1910791
6/20/1994,246.9801318
6/21/1994,243.5621288
6/22/1994,244.7452701
6/23/1994,242.8171583
6/24/1994,239.8493362
6/27/1994,241.8992106
6/28/1994,241.6790775
6/29/1994,243.0291881
6/30/1994,242.3995884
7/1/1994,244.0154426
7/4/1994,244.0154426
7/5/1994,243.8640247
7/6/1994,244.1086959
7/7/1994,246.2502441
7/8/1994,246.5015204
7/11/1994,245.7353315
7/12/1994,245.2048192
7/13/1994,245.5936497
7/14/1994,248.9118428
7/15/1994,249.7731716
7/18/1994,249.4989806
7/19/1994,249.5856164
7/20/1994,248.7200886
7/21/1994,248.3544737
7/22/1994,249.1924293
7/25/1994,248.9209145
7/26/1994,248.6186752
7/27/1994,248.986444
7/28/1994,250.5396463
7/29/1994,254.1050955
8/1/1994,257.8872189
8/2/1994,259.339069
8/3/1994,259.4321666
8/4/1994,258.7941879
8/5/1994,256.2944078
8/8/1994,256.6773926
8/9/1994,255.4176405
8/10/1994,255.7283792
8/11/1994,253.5190203
8/12/1994,254.0142311
8/15/1994,253.3049307
8/16/1994,255.0171269
8/17/1994,253.6134141
8/18/1994,251.925779
8/19/1994,252.977212
8/22/1994,251.6465756
8/23/1994,252.9106532
8/24/1994,253.2558908
8/25/1994,252.7115571
8/26/1994,255.08914
8/29/1994,255.5309738
8/30/1994,256.3623131
8/31/1994,255.6366152
9/1/1994,252.3453528
9/2/1994,250.6502165
9/5/1994,250.6502165
9/6/1994,248.2811765
9/7/1994,247.3802058
9/8/1994,247.9475195
9/9/1994,244.7277998
9/12/1994,242.2146279
9/13/1994,242.3167628
9/14/1994,241.6572363
9/15/1994,243.8835165
9/16/1994,241.5554361
9/19/1994,241.7344325
9/20/1994,239.7816511
9/21/1994,240.8835416
9/22/1994,241.840743
9/23/1994,242.3937864
9/26/1994,243.5195113
9/27/1994,244.194866
9/28/1994,246.1036622
9/29/1994,247.7001154
9/30/1994,249.0710026
10/3/1994,248.3449969
10/4/1994,246.8571233
10/5/1994,245.8230974
10/6/1994,245.9498815
10/7/1994,246.6876055
10/10/1994,248.6632924
10/11/1994,252.0475406
10/12/1994,251.5365952
10/13/1994,252.5070537
10/14/1994,253.6839757
10/17/1994,252.7917543
10/18/1994,252.1122723
10/19/1994,252.5127618
10/20/1994,250.9579258
10/21/1994,250.7642681
10/24/1994,248.8649126
10/25/1994,249.4231012
10/26/1994,248.4981583
10/27/1994,249.9748432
10/28/1994,254.4068383
10/31/1994,253.7109768
11/1/1994,251.2833908
11/2/1994,251.2928501
11/3/1994,252.7433781
11/4/1994,250.7256474
11/7/1994,251.8773747
11/8/1994,252.4307848
11/9/1994,250.6179083
11/10/1994,249.6836124
11/11/1994,248.5220806
11/14/1994,249.2683295
11/15/1994,248.6887674
11/16/1994,248.159594
11/17/1994,247.3679072
11/18/1994,246.1426602
11/21/1994,245.9909004
11/22/1994,247.1252585
11/23/1994,252.4395623
11/24/1994,252.4395623
11/25/1994,254.6025223
11/28/1994,254.732096
11/29/1994,254.8155644
11/30/1994,254.6594872
12/1/1994,252.4990713
12/2/1994,255.1297246
12/5/1994,256.6204284
12/6/1994,256.95836
12/7/1994,256.8147075
12/8/1994,256.7135814
12/9/1994,257.0331919
12/12/1994,258.2944654
12/13/1994,259.3487646
12/14/1994,260.0651781
12/15/1994,258.2266324
12/16/1994,258.5727655
12/19/1994,257.5144396
12/20/1994,257.9250283
12/21/1994,258.2348819
12/22/1994,257.9860865
12/23/1994,257.2715802
12/26/1994,257.2642127
12/27/1994,258.0703678
12/28/1994,257.0287982
12/29/1994,256.9010592
12/30/1994,257.0182699
1/2/1995,257.0182699
1/3/1995,257.7056589
1/4/1995,259.5854446
1/5/1995,259.0496676
1/6/1995,259.6578281
1/9/1995,259.4745653
1/10/1995,259.5098393
1/11/1995,258.7543627
1/12/1995,259.1087975
1/13/1995,260.7525995
1/16/1995,263.1999252
1/17/1995,264.4430134
